station_id,lat,lon
AYT,48,-53
YJT,49,-59
YQI,44,-66
YZV,50,-66
YYR,53,-60
WSA,44,-60
WMW,46,-76
YAH,54,-74
YQD,54,-101
WPL,51,-90
YYQ,59,-94
WSE,54,-114
YYE,59,-123
ZXS,54,-123
YSM,60,-112
YXY,61,-135
YEV,68,-133
YVQ,65,-127
YCB,69,-105
YRB,75,-95
YUX,69,-81
YBK,64,-96
YZT,51,-127
YFB,64,-69
YVP,58,-68
BGBW,61,-45
CAR,47,-68
PANC,61,-150
PANT,55,-132
PABR,71,-157
PABE,61,-162
PACD,55,-163
PASY,53,174
PAFA,65,-148
PAKN,59,-157
PADQ,58,-153
PAOT,67,-163
PAMC,63,-156
PAOM,65,-165
PASN,57,-170
PAYA,60,-140
BMX,33,-87
LZK,35,-92
FGZ,35,-112
TUS,32,-111
NKX,33,-117
OAK,38,-122
VBG,35,-121
DNR,40,-105
GJT,39,-109
JAX,30,-82
MFL,26,-80
TLH,30,-84
TBW,28,-82
FFC,33,-85
LIH,22,-159
DVN,42,-91
BOI,44,-116
ILX,40,-89
DDC,38,-100
TOP,39,-96
LCH,30,-93
SHV,32,-94
LIX,30,-90
CHH,42,-70
CAR,47,-68
GYX,44,-70
DTX,43,-83
APX,45,-85
MPX,45,-94
INL,49,-93
SGF,37,-93
JAN,32,-90
GGW,48,-107
TFX,47,-111
GSO,36,-80
MHX,35,-77
BIS,47,-101
LBF,41,-101
OAX,41,-96
ABQ,35,-107
VEF,36,-115
DRA,37,-116
LKN,41,-116
REV,40,-120
ALB,43,-74
OKX,41,-73
BUF,43,-79
ILN,39,-84
LMN,37,-97
OUN,35,-97
MFR,42,-123
SLE,45,-123
PIT,41,-80
CHS,33,-80
ABR,45,-98
RAP,44,-103
BNA,36,-87
AMA,35,-102
BRO,26,-97
CRP,28,-98
DRT,29,-101
EPZ,32,-107
FWD,33,-97
MAF,32,-102
SLC,41,-112
RNK,37,-80
WAL,38,-75
IAD,39,-77
UIL,48,-125
OTX,48,-118
GRB,44,-88
RIW,43,-108
YMO,51,-81
CWVK,50,-119
